paths,labels
processed_data\leg raises\video46.pt,11
processed_data\romanian deadlift\video96.pt,15
processed_data\push-up\video151.pt,14
processed_data\tricep Pushdown\video112.pt,21
processed_data\tricep Pushdown\video7.pt,21
processed_data\deadlift\video94.pt,3
processed_data\romanian deadlift\video144.pt,15
processed_data\plank\video67.pt,12
processed_data\barbell biceps curl\video62.pt,0
processed_data\romanian deadlift\video83.pt,15
processed_data\plank\video128.pt,12
processed_data\lateral raise\video160.pt,9
processed_data\hip thrust\video124.pt,6
processed_data\push-up\video243.pt,14
processed_data\push-up\video254.pt,14
processed_data\plank\video100.pt,12
processed_data\lateral raise\video30.pt,9
processed_data\t bar row\video109.pt,19
processed_data\pull Up\video144.pt,13
processed_data\t bar row\video12.pt,19
processed_data\bench press\video37.pt,1
processed_data\bench press\video105.pt,1
processed_data\barbell biceps curl\video128.pt,0
processed_data\squat\video190.pt,18
processed_data\pull Up\video129.pt,13
processed_data\tricep dips\video147.pt,20
processed_data\squat\video125.pt,18
processed_data\tricep Pushdown\video94.pt,21
processed_data\russian twist\video47.pt,16
processed_data\hammer curl\video135.pt,5
processed_data\leg extension\video132.pt,10
processed_data\russian twist\video105.pt,16
processed_data\deadlift\video82.pt,3
processed_data\t bar row\video140.pt,19
processed_data\romanian deadlift\video67.pt,15
processed_data\pull Up\video75.pt,13
processed_data\lateral raise\video84.pt,9
processed_data\plank\video149.pt,12
processed_data\leg raises\video125.pt,11
processed_data\push-up\video5.pt,14
processed_data\pull Up\video194.pt,13
processed_data\push-up\video53.pt,14
processed_data\hammer curl\video80.pt,5
processed_data\plank\video188.pt,12
processed_data\squat\video186.pt,18
processed_data\bench press\video104.pt,1
processed_data\push-up\video125.pt,14
processed_data\pull Up\video12.pt,13
processed_data\chest fly machine\video7.pt,2
processed_data\shoulder press\video10.pt,17
processed_data\leg extension\video36.pt,10
processed_data\pull Up\video146.pt,13
processed_data\tricep Pushdown\video122.pt,21
processed_data\russian twist\video130.pt,16
processed_data\lateral raise\video96.pt,9
processed_data\barbell biceps curl\video65.pt,0
processed_data\leg extension\video85.pt,10
processed_data\hip thrust\video76.pt,6
processed_data\push-up\video234.pt,14
processed_data\hammer curl\video24.pt,5
processed_data\lateral raise\video180.pt,9
processed_data\hammer curl\video134.pt,5
processed_data\t bar row\video18.pt,19
processed_data\hip thrust\video39.pt,6
processed_data\squat\video162.pt,18
processed_data\romanian deadlift\video89.pt,15
processed_data\romanian deadlift\video173.pt,15
processed_data\incline bench press\video191.pt,7
processed_data\push-up\video31.pt,14
processed_data\leg extension\video35.pt,10
processed_data\tricep dips\video0.pt,20
processed_data\hip thrust\video44.pt,6
processed_data\hammer curl\video98.pt,5
processed_data\tricep dips\video46.pt,20
processed_data\hip thrust\video163.pt,6
processed_data\squat\video116.pt,18
processed_data\romanian deadlift\video92.pt,15
processed_data\leg extension\video124.pt,10
processed_data\squat\video202.pt,18
processed_data\plank\video85.pt,12
processed_data\tricep dips\video174.pt,20
processed_data\incline bench press\video41.pt,7
processed_data\hip thrust\video151.pt,6
processed_data\plank\video213.pt,12
processed_data\plank\video202.pt,12
processed_data\t bar row\video100.pt,19
processed_data\russian twist\video104.pt,16
processed_data\russian twist\video107.pt,16
processed_data\squat\video93.pt,18
processed_data\romanian deadlift\video172.pt,15
processed_data\t bar row\video122.pt,19
processed_data\barbell biceps curl\video123.pt,0
processed_data\hammer curl\video105.pt,5
processed_data\barbell biceps curl\video96.pt,0
processed_data\pull Up\video23.pt,13
processed_data\chest fly machine\video27.pt,2
processed_data\hip thrust\video40.pt,6
processed_data\romanian deadlift\video102.pt,15
processed_data\tricep Pushdown\video83.pt,21
processed_data\squat\video149.pt,18
processed_data\tricep Pushdown\video45.pt,21
processed_data\russian twist\video134.pt,16
processed_data\leg extension\video77.pt,10
processed_data\leg extension\video22.pt,10
processed_data\squat\video215.pt,18
processed_data\lateral raise\video46.pt,9
processed_data\plank\video134.pt,12
processed_data\romanian deadlift\video16.pt,15
processed_data\barbell biceps curl\video154.pt,0
processed_data\lateral raise\video92.pt,9
processed_data\incline bench press\video196.pt,7
processed_data\deadlift\video89.pt,3
processed_data\plank\video243.pt,12
processed_data\leg raises\video61.pt,11
processed_data\hip thrust\video150.pt,6
processed_data\pull Up\video150.pt,13
processed_data\plank\video140.pt,12
processed_data\hip thrust\video62.pt,6
processed_data\hip thrust\video13.pt,6
processed_data\plank\video110.pt,12
processed_data\russian twist\video138.pt,16
processed_data\barbell biceps curl\video108.pt,0
processed_data\plank\video39.pt,12
processed_data\push-up\video236.pt,14
processed_data\tricep dips\video170.pt,20
processed_data\pull Up\video166.pt,13
processed_data\incline bench press\video119.pt,7
processed_data\deadlift\video61.pt,3
processed_data\russian twist\video28.pt,16
processed_data\pull Up\video156.pt,13
processed_data\romanian deadlift\video1.pt,15
processed_data\bench press\video54.pt,1
processed_data\push-up\video135.pt,14
processed_data\t bar row\video147.pt,19
processed_data\lateral raise\video107.pt,9
processed_data\incline bench press\video103.pt,7
processed_data\push-up\video71.pt,14
processed_data\push-up\video157.pt,14
processed_data\deadlift\video81.pt,3
processed_data\hip thrust\video121.pt,6
processed_data\t bar row\video170.pt,19
processed_data\hammer curl\video36.pt,5
processed_data\chest fly machine\video1.pt,2
processed_data\barbell biceps curl\video2.pt,0
processed_data\squat\video176.pt,18
processed_data\romanian deadlift\video11.pt,15
processed_data\hip thrust\video82.pt,6
processed_data\tricep dips\video86.pt,20
processed_data\leg extension\video48.pt,10
processed_data\push-up\video23.pt,14
processed_data\leg extension\video32.pt,10
processed_data\push-up\video237.pt,14
processed_data\plank\video37.pt,12
processed_data\barbell biceps curl\video32.pt,0
processed_data\lateral raise\video123.pt,9
processed_data\tricep dips\video123.pt,20
processed_data\leg extension\video122.pt,10
processed_data\lateral raise\video207.pt,9
processed_data\leg raises\video0.pt,11
processed_data\leg raises\video120.pt,11
processed_data\lateral raise\video106.pt,9
processed_data\barbell biceps curl\video76.pt,0
processed_data\t bar row\video19.pt,19
processed_data\lateral raise\video190.pt,9
processed_data\pull Up\video64.pt,13
processed_data\bench press\video4.pt,1
processed_data\chest fly machine\video10.pt,2
processed_data\tricep dips\video127.pt,20
processed_data\incline bench press\video133.pt,7
processed_data\tricep dips\video125.pt,20
processed_data\leg raises\video34.pt,11
processed_data\squat\video160.pt,18
processed_data\hammer curl\video3.pt,5
processed_data\push-up\video103.pt,14
processed_data\barbell biceps curl\video127.pt,0
processed_data\pull Up\video6.pt,13
processed_data\barbell biceps curl\video18.pt,0
processed_data\plank\video63.pt,12
processed_data\tricep dips\video169.pt,20
processed_data\push-up\video116.pt,14
processed_data\t bar row\video152.pt,19
processed_data\tricep dips\video11.pt,20
processed_data\tricep dips\video179.pt,20
processed_data\incline bench press\video19.pt,7
processed_data\incline bench press\video125.pt,7
processed_data\leg raises\video140.pt,11
processed_data\barbell biceps curl\video93.pt,0
processed_data\tricep Pushdown\video49.pt,21
processed_data\squat\video156.pt,18
processed_data\hammer curl\video125.pt,5
processed_data\incline bench press\video195.pt,7
processed_data\lateral raise\video111.pt,9
processed_data\leg raises\video20.pt,11
processed_data\hip thrust\video19.pt,6
processed_data\tricep Pushdown\video99.pt,21
processed_data\hip thrust\video92.pt,6
processed_data\lateral raise\video85.pt,9
processed_data\incline bench press\video110.pt,7
processed_data\plank\video132.pt,12
processed_data\deadlift\video66.pt,3
processed_data\t bar row\video174.pt,19
processed_data\russian twist\video125.pt,16
processed_data\russian twist\video53.pt,16
processed_data\tricep Pushdown\video69.pt,21
processed_data\incline bench press\video115.pt,7
processed_data\hammer curl\video95.pt,5
processed_data\hammer curl\video53.pt,5
processed_data\incline bench press\video15.pt,7
processed_data\hip thrust\video130.pt,6
processed_data\tricep dips\video45.pt,20
processed_data\tricep Pushdown\video36.pt,21
processed_data\tricep Pushdown\video106.pt,21
processed_data\romanian deadlift\video49.pt,15
processed_data\push-up\video199.pt,14
processed_data\hammer curl\video51.pt,5
processed_data\hip thrust\video126.pt,6
processed_data\deadlift\video56.pt,3
processed_data\squat\video77.pt,18
processed_data\tricep Pushdown\video44.pt,21
processed_data\deadlift\video19.pt,3
processed_data\hip thrust\video43.pt,6
processed_data\pull Up\video148.pt,13
processed_data\plank\video11.pt,12
processed_data\t bar row\video51.pt,19
processed_data\pull Up\video110.pt,13
processed_data\tricep dips\video126.pt,20
processed_data\squat\video92.pt,18
processed_data\squat\video194.pt,18
processed_data\t bar row\video123.pt,19
processed_data\russian twist\video23.pt,16
processed_data\leg raises\video127.pt,11
processed_data\plank\video236.pt,12
processed_data\russian twist\video44.pt,16
processed_data\lateral raise\video199.pt,9
processed_data\barbell biceps curl\video101.pt,0
processed_data\bench press\video88.pt,1
processed_data\deadlift\video147.pt,3
processed_data\russian twist\video114.pt,16
processed_data\squat\video90.pt,18
processed_data\deadlift\video108.pt,3
processed_data\barbell biceps curl\video52.pt,0
processed_data\plank\video255.pt,12
processed_data\incline bench press\video157.pt,7
processed_data\pull Up\video15.pt,13
processed_data\tricep dips\video38.pt,20
processed_data\leg extension\video4.pt,10
processed_data\pull Up\video109.pt,13
processed_data\pull Up\video101.pt,13
processed_data\russian twist\video9.pt,16
processed_data\bench press\video41.pt,1
processed_data\incline bench press\video86.pt,7
processed_data\russian twist\video150.pt,16
processed_data\barbell biceps curl\video160.pt,0
processed_data\push-up\video90.pt,14
processed_data\pull Up\video55.pt,13
processed_data\squat\video135.pt,18
processed_data\bench press\video93.pt,1
processed_data\tricep Pushdown\video102.pt,21
processed_data\deadlift\video118.pt,3
processed_data\russian twist\video141.pt,16
processed_data\lateral raise\video56.pt,9
processed_data\russian twist\video70.pt,16
processed_data\lateral raise\video147.pt,9
processed_data\shoulder press\video8.pt,17
processed_data\deadlift\video14.pt,3
processed_data\push-up\video221.pt,14
processed_data\t bar row\video181.pt,19
processed_data\plank\video234.pt,12
processed_data\romanian deadlift\video146.pt,15
processed_data\plank\video138.pt,12
processed_data\leg raises\video37.pt,11
processed_data\plank\video223.pt,12
processed_data\pull Up\video34.pt,13
processed_data\push-up\video25.pt,14
processed_data\russian twist\video77.pt,16
processed_data\incline bench press\video190.pt,7
processed_data\barbell biceps curl\video3.pt,0
processed_data\deadlift\video67.pt,3
processed_data\lateral raise\video25.pt,9
processed_data\tricep dips\video209.pt,20
processed_data\leg raises\video45.pt,11
processed_data\bench press\video50.pt,1
processed_data\squat\video216.pt,18
processed_data\lateral raise\video34.pt,9
processed_data\hip thrust\video49.pt,6
processed_data\barbell biceps curl\video130.pt,0
processed_data\plank\video29.pt,12
processed_data\leg extension\video118.pt,10
processed_data\plank\video33.pt,12
processed_data\squat\video150.pt,18
processed_data\barbell biceps curl\video23.pt,0
processed_data\leg raises\video100.pt,11
processed_data\leg raises\video39.pt,11
processed_data\tricep Pushdown\video38.pt,21
processed_data\leg extension\video106.pt,10
processed_data\squat\video12.pt,18
processed_data\deadlift\video64.pt,3
processed_data\tricep dips\video163.pt,20
processed_data\pull Up\video175.pt,13
processed_data\deadlift\video10.pt,3
processed_data\tricep dips\video32.pt,20
processed_data\tricep dips\video142.pt,20
processed_data\hip thrust\video170.pt,6
processed_data\lateral raise\video172.pt,9
processed_data\romanian deadlift\video62.pt,15
processed_data\plank\video156.pt,12
processed_data\russian twist\video18.pt,16
processed_data\lateral raise\video86.pt,9
processed_data\romanian deadlift\video8.pt,15
processed_data\squat\video158.pt,18
processed_data\incline bench press\video61.pt,7
processed_data\tricep dips\video130.pt,20
processed_data\tricep Pushdown\video8.pt,21
processed_data\tricep Pushdown\video4.pt,21
processed_data\deadlift\video57.pt,3
processed_data\leg raises\video124.pt,11
processed_data\russian twist\video127.pt,16
processed_data\t bar row\video118.pt,19
processed_data\russian twist\video5.pt,16
processed_data\hammer curl\video91.pt,5
processed_data\chest fly machine\video15.pt,2
processed_data\hammer curl\video120.pt,5
processed_data\romanian deadlift\video14.pt,15
processed_data\barbell biceps curl\video46.pt,0
processed_data\pull Up\video170.pt,13
processed_data\incline bench press\video147.pt,7
processed_data\tricep dips\video158.pt,20
processed_data\hip thrust\video60.pt,6
processed_data\plank\video164.pt,12
processed_data\hammer curl\video75.pt,5
processed_data\barbell biceps curl\video156.pt,0
processed_data\push-up\video228.pt,14
processed_data\romanian deadlift\video77.pt,15
processed_data\push-up\video164.pt,14
processed_data\leg raises\video21.pt,11
processed_data\lateral raise\video192.pt,9
processed_data\tricep dips\video175.pt,20
processed_data\plank\video190.pt,12
processed_data\plank\video32.pt,12
processed_data\romanian deadlift\video3.pt,15
processed_data\deadlift\video136.pt,3
processed_data\russian twist\video27.pt,16
processed_data\hip thrust\video30.pt,6
processed_data\hammer curl\video110.pt,5
processed_data\leg raises\video107.pt,11
processed_data\bench press\video76.pt,1
processed_data\lateral raise\video83.pt,9
processed_data\hip thrust\video74.pt,6
processed_data\barbell biceps curl\video112.pt,0
processed_data\bench press\video126.pt,1
processed_data\pull Up\video16.pt,13
processed_data\incline bench press\video164.pt,7
processed_data\bench press\video26.pt,1
processed_data\plank\video199.pt,12
processed_data\pull Up\video178.pt,13
processed_data\squat\video34.pt,18
processed_data\tricep dips\video4.pt,20
processed_data\bench press\video65.pt,1
processed_data\hip thrust\video4.pt,6
processed_data\romanian deadlift\video180.pt,15
processed_data\push-up\video30.pt,14
processed_data\russian twist\video121.pt,16
processed_data\bench press\video66.pt,1
processed_data\romanian deadlift\video143.pt,15
processed_data\plank\video77.pt,12
processed_data\barbell biceps curl\video99.pt,0
processed_data\incline bench press\video188.pt,7
processed_data\t bar row\video130.pt,19
processed_data\leg extension\video87.pt,10
processed_data\push-up\video87.pt,14
processed_data\tricep dips\video92.pt,20
processed_data\push-up\video13.pt,14
processed_data\push-up\video41.pt,14
processed_data\hammer curl\video143.pt,5
processed_data\pull Up\video158.pt,13
processed_data\squat\video143.pt,18
processed_data\squat\video140.pt,18
processed_data\russian twist\video41.pt,16
processed_data\romanian deadlift\video25.pt,15
processed_data\plank\video170.pt,12
processed_data\plank\video165.pt,12
processed_data\pull Up\video9.pt,13
processed_data\hip thrust\video160.pt,6
processed_data\deadlift\video5.pt,3
processed_data\barbell biceps curl\video71.pt,0
processed_data\bench press\video112.pt,1
processed_data\push-up\video124.pt,14
processed_data\pull Up\video117.pt,13
processed_data\bench press\video49.pt,1
processed_data\tricep Pushdown\video70.pt,21
processed_data\tricep dips\video64.pt,20
processed_data\deadlift\video142.pt,3
processed_data\incline bench press\video46.pt,7
processed_data\lateral raise\video108.pt,9
processed_data\deadlift\video153.pt,3
processed_data\t bar row\video10.pt,19
processed_data\leg extension\video134.pt,10
processed_data\hammer curl\video140.pt,5
processed_data\incline bench press\video150.pt,7
processed_data\pull Up\video20.pt,13
processed_data\tricep dips\video71.pt,20
processed_data\barbell biceps curl\video100.pt,0
processed_data\plank\video148.pt,12
processed_data\squat\video67.pt,18
processed_data\pull Up\video39.pt,13
processed_data\bench press\video53.pt,1
processed_data\push-up\video250.pt,14
processed_data\hammer curl\video89.pt,5
processed_data\push-up\video194.pt,14
processed_data\leg raises\video94.pt,11
processed_data\russian twist\video83.pt,16
processed_data\deadlift\video97.pt,3
processed_data\russian twist\video72.pt,16
processed_data\push-up\video168.pt,14
processed_data\hip thrust\video59.pt,6
processed_data\pull Up\video140.pt,13
processed_data\russian twist\video86.pt,16
processed_data\bench press\video111.pt,1
processed_data\incline bench press\video8.pt,7
processed_data\tricep dips\video80.pt,20
processed_data\pull Up\video47.pt,13
processed_data\tricep dips\video140.pt,20
processed_data\barbell biceps curl\video159.pt,0
processed_data\plank\video210.pt,12
processed_data\leg extension\video60.pt,10
processed_data\t bar row\video79.pt,19
processed_data\lateral raise\video29.pt,9
processed_data\t bar row\video7.pt,19
processed_data\leg extension\video13.pt,10
processed_data\lateral raise\video18.pt,9
processed_data\romanian deadlift\video88.pt,15
processed_data\hip thrust\video110.pt,6
processed_data\hip thrust\video65.pt,6
processed_data\leg raises\video134.pt,11
processed_data\squat\video181.pt,18
processed_data\tricep dips\video56.pt,20
processed_data\bench press\video8.pt,1
processed_data\plank\video232.pt,12
processed_data\squat\video14.pt,18
processed_data\t bar row\video168.pt,19
processed_data\tricep dips\video102.pt,20
processed_data\leg raises\video38.pt,11
processed_data\tricep dips\video178.pt,20
processed_data\tricep dips\video99.pt,20
processed_data\t bar row\video22.pt,19
processed_data\tricep dips\video10.pt,20
processed_data\hammer curl\video20.pt,5
processed_data\hammer curl\video55.pt,5
processed_data\plank\video42.pt,12
processed_data\leg raises\video113.pt,11
processed_data\hip thrust\video143.pt,6
processed_data\leg extension\video70.pt,10
processed_data\push-up\video40.pt,14
processed_data\push-up\video232.pt,14
processed_data\hammer curl\video138.pt,5
processed_data\tricep Pushdown\video105.pt,21
processed_data\russian twist\video93.pt,16
processed_data\leg raises\video50.pt,11
processed_data\hip thrust\video68.pt,6
processed_data\tricep dips\video122.pt,20
processed_data\deadlift\video133.pt,3
processed_data\squat\video187.pt,18
processed_data\shoulder press\video2.pt,17
processed_data\tricep Pushdown\video100.pt,21
processed_data\pull Up\video128.pt,13
processed_data\leg raises\video90.pt,11
processed_data\t bar row\video161.pt,19
processed_data\hammer curl\video132.pt,5
processed_data\leg raises\video35.pt,11
processed_data\push-up\video89.pt,14
processed_data\leg raises\video117.pt,11
processed_data\pull Up\video168.pt,13
processed_data\pull Up\video143.pt,13
processed_data\lateral raise\video202.pt,9
processed_data\push-up\video38.pt,14
processed_data\incline bench press\video6.pt,7
processed_data\incline bench press\video93.pt,7
processed_data\pull Up\video29.pt,13
processed_data\russian twist\video37.pt,16
processed_data\squat\video63.pt,18
processed_data\plank\video175.pt,12
processed_data\hip thrust\video69.pt,6
processed_data\leg extension\video41.pt,10
processed_data\decline bench press\video1.pt,4
processed_data\plank\video80.pt,12
processed_data\deadlift\video4.pt,3
processed_data\pull Up\video60.pt,13
processed_data\bench press\video3.pt,1
processed_data\deadlift\video3.pt,3
processed_data\leg raises\video133.pt,11
processed_data\russian twist\video139.pt,16
processed_data\leg extension\video138.pt,10
processed_data\t bar row\video46.pt,19
processed_data\lateral raise\video129.pt,9
processed_data\romanian deadlift\video4.pt,15
processed_data\lateral raise\video189.pt,9
processed_data\plank\video93.pt,12
processed_data\incline bench press\video48.pt,7
processed_data\romanian deadlift\video81.pt,15
processed_data\incline bench press\video87.pt,7
processed_data\incline bench press\video16.pt,7
processed_data\incline bench press\video123.pt,7
processed_data\plank\video161.pt,12
processed_data\romanian deadlift\video71.pt,15
processed_data\lateral raise\video24.pt,9
processed_data\barbell biceps curl\video55.pt,0
processed_data\hammer curl\video141.pt,5
processed_data\tricep Pushdown\video89.pt,21
processed_data\romanian deadlift\video157.pt,15
processed_data\barbell biceps curl\video58.pt,0
processed_data\lateral raise\video206.pt,9
processed_data\deadlift\video127.pt,3
processed_data\romanian deadlift\video6.pt,15
processed_data\t bar row\video84.pt,19
processed_data\leg raises\video99.pt,11
processed_data\tricep dips\video162.pt,20
processed_data\pull Up\video26.pt,13
processed_data\t bar row\video68.pt,19
processed_data\push-up\video147.pt,14
processed_data\tricep dips\video65.pt,20
processed_data\lateral raise\video58.pt,9
processed_data\romanian deadlift\video35.pt,15
processed_data\barbell biceps curl\video50.pt,0
processed_data\bench press\video35.pt,1
processed_data\tricep dips\video35.pt,20
processed_data\barbell biceps curl\video21.pt,0
processed_data\bench press\video92.pt,1
processed_data\romanian deadlift\video84.pt,15
processed_data\leg extension\video33.pt,10
processed_data\hip thrust\video24.pt,6
processed_data\squat\video134.pt,18
processed_data\plank\video219.pt,12
processed_data\plank\video81.pt,12
processed_data\chest fly machine\video20.pt,2
processed_data\tricep dips\video153.pt,20
processed_data\leg raises\video87.pt,11
processed_data\squat\video152.pt,18
processed_data\incline bench press\video66.pt,7
processed_data\push-up\video117.pt,14
processed_data\hammer curl\video40.pt,5
processed_data\bench press\video36.pt,1
processed_data\t bar row\video6.pt,19
processed_data\hammer curl\video77.pt,5
processed_data\t bar row\video50.pt,19
processed_data\romanian deadlift\video166.pt,15
processed_data\barbell biceps curl\video67.pt,0
processed_data\t bar row\video93.pt,19
processed_data\lateral raise\video128.pt,9
processed_data\leg extension\video52.pt,10
processed_data\push-up\video231.pt,14
processed_data\leg raises\video27.pt,11
processed_data\romanian deadlift\video54.pt,15
processed_data\push-up\video153.pt,14
processed_data\bench press\video81.pt,1
processed_data\tricep dips\video112.pt,20
processed_data\pull Up\video147.pt,13
processed_data\squat\video96.pt,18
processed_data\tricep dips\video31.pt,20
processed_data\hip thrust\video55.pt,6
processed_data\squat\video53.pt,18
processed_data\tricep Pushdown\video37.pt,21
processed_data\russian twist\video39.pt,16
processed_data\romanian deadlift\video105.pt,15
processed_data\deadlift\video54.pt,3
processed_data\russian twist\video2.pt,16
processed_data\deadlift\video2.pt,3
processed_data\bench press\video84.pt,1
processed_data\tricep dips\video146.pt,20
processed_data\tricep dips\video176.pt,20
processed_data\hammer curl\video37.pt,5
processed_data\bench press\video46.pt,1
processed_data\plank\video20.pt,12
processed_data\leg raises\video121.pt,11
processed_data\lateral raise\video156.pt,9
processed_data\deadlift\video148.pt,3
processed_data\romanian deadlift\video134.pt,15
processed_data\squat\video157.pt,18
processed_data\russian twist\video80.pt,16
processed_data\hammer curl\video93.pt,5
processed_data\pull Up\video132.pt,13
processed_data\lateral raise\video167.pt,9
processed_data\russian twist\video111.pt,16
processed_data\romanian deadlift\video176.pt,15
processed_data\deadlift\video143.pt,3
processed_data\tricep dips\video177.pt,20
processed_data\deadlift\video51.pt,3
processed_data\pull Up\video31.pt,13
processed_data\bench press\video114.pt,1
processed_data\romanian deadlift\video9.pt,15
processed_data\push-up\video198.pt,14
processed_data\t bar row\video107.pt,19
processed_data\plank\video191.pt,12
processed_data\plank\video143.pt,12
processed_data\squat\video110.pt,18
processed_data\lateral raise\video44.pt,9
processed_data\incline bench press\video3.pt,7
processed_data\bench press\video127.pt,1
processed_data\chest fly machine\video28.pt,2
processed_data\squat\video206.pt,18
processed_data\hip thrust\video95.pt,6
processed_data\deadlift\video38.pt,3
processed_data\deadlift\video50.pt,3
processed_data\russian twist\video89.pt,16
processed_data\leg extension\video49.pt,10
processed_data\tricep Pushdown\video73.pt,21
processed_data\barbell biceps curl\video90.pt,0
processed_data\plank\video171.pt,12
processed_data\romanian deadlift\video171.pt,15
processed_data\deadlift\video131.pt,3
processed_data\squat\video107.pt,18
processed_data\hammer curl\video64.pt,5
processed_data\squat\video78.pt,18
processed_data\hip thrust\video98.pt,6
processed_data\barbell biceps curl\video104.pt,0
processed_data\plank\video240.pt,12
processed_data\bench press\video1.pt,1
processed_data\plank\video18.pt,12
processed_data\barbell biceps curl\video133.pt,0
processed_data\lateral raise\video27.pt,9
processed_data\hammer curl\video144.pt,5
processed_data\hammer curl\video10.pt,5
processed_data\hip thrust\video119.pt,6
processed_data\russian twist\video106.pt,16
processed_data\incline bench press\video1.pt,7
processed_data\leg raises\video154.pt,11
processed_data\incline bench press\video42.pt,7
processed_data\tricep Pushdown\video19.pt,21
processed_data\hip thrust\video31.pt,6
processed_data\incline bench press\video136.pt,7
processed_data\push-up\video169.pt,14
processed_data\t bar row\video96.pt,19
processed_data\t bar row\video39.pt,19
processed_data\plank\video74.pt,12
processed_data\leg raises\video103.pt,11
processed_data\romanian deadlift\video131.pt,15
processed_data\romanian deadlift\video116.pt,15
processed_data\barbell biceps curl\video89.pt,0
processed_data\tricep Pushdown\video29.pt,21
processed_data\deadlift\video76.pt,3
processed_data\plank\video104.pt,12
processed_data\plank\video8.pt,12
processed_data\tricep Pushdown\video32.pt,21
processed_data\bench press\video72.pt,1
processed_data\push-up\video127.pt,14
processed_data\squat\video166.pt,18
processed_data\leg raises\video15.pt,11
processed_data\incline bench press\video177.pt,7
processed_data\russian twist\video91.pt,16
processed_data\lateral raise\video124.pt,9
processed_data\tricep dips\video135.pt,20
processed_data\incline bench press\video20.pt,7
processed_data\deadlift\video106.pt,3
processed_data\squat\video151.pt,18
processed_data\hip thrust\video81.pt,6
processed_data\squat\video185.pt,18
processed_data\deadlift\video145.pt,3
processed_data\hip thrust\video37.pt,6
processed_data\squat\video188.pt,18
processed_data\tricep Pushdown\video119.pt,21
processed_data\incline bench press\video39.pt,7
processed_data\tricep dips\video193.pt,20
processed_data\barbell biceps curl\video83.pt,0
processed_data\t bar row\video38.pt,19
processed_data\push-up\video152.pt,14
processed_data\deadlift\video111.pt,3
processed_data\push-up\video58.pt,14
processed_data\lateral raise\video5.pt,9
processed_data\lateral raise\video204.pt,9
processed_data\push-up\video145.pt,14
processed_data\tricep dips\video93.pt,20
processed_data\push-up\video170.pt,14
processed_data\squat\video192.pt,18
processed_data\t bar row\video60.pt,19
processed_data\barbell biceps curl\video5.pt,0
processed_data\squat\video70.pt,18
processed_data\romanian deadlift\video181.pt,15
processed_data\bench press\video32.pt,1
processed_data\leg extension\video12.pt,10
processed_data\t bar row\video83.pt,19
processed_data\hammer curl\video116.pt,5
processed_data\russian twist\video24.pt,16
processed_data\barbell biceps curl\video144.pt,0
processed_data\hip thrust\video6.pt,6
processed_data\plank\video36.pt,12
processed_data\tricep Pushdown\video18.pt,21
processed_data\tricep Pushdown\video110.pt,21
processed_data\romanian deadlift\video30.pt,15
processed_data\hip thrust\video167.pt,6
processed_data\plank\video35.pt,12
processed_data\tricep Pushdown\video123.pt,21
processed_data\tricep Pushdown\video95.pt,21
processed_data\tricep dips\video205.pt,20
processed_data\squat\video146.pt,18
processed_data\plank\video211.pt,12
processed_data\plank\video71.pt,12
processed_data\squat\video164.pt,18
processed_data\russian twist\video6.pt,16
processed_data\lateral raise\video102.pt,9
processed_data\lateral raise\video170.pt,9
processed_data\russian twist\video71.pt,16
processed_data\push-up\video149.pt,14
processed_data\deadlift\video151.pt,3
processed_data\leg raises\video55.pt,11
processed_data\plank\video73.pt,12
processed_data\t bar row\video176.pt,19
processed_data\plank\video264.pt,12
processed_data\romanian deadlift\video32.pt,15
processed_data\hip thrust\video87.pt,6
processed_data\tricep dips\video186.pt,20
processed_data\push-up\video113.pt,14
processed_data\lateral raise\video91.pt,9
processed_data\pull Up\video80.pt,13
processed_data\shoulder press\video5.pt,17
processed_data\hip thrust\video99.pt,6
processed_data\hammer curl\video106.pt,5
processed_data\leg raises\video16.pt,11
processed_data\pull Up\video92.pt,13
processed_data\leg extension\video38.pt,10
processed_data\russian twist\video54.pt,16
processed_data\push-up\video256.pt,14
processed_data\tricep Pushdown\video135.pt,21
processed_data\pull Up\video83.pt,13
processed_data\leg raises\video19.pt,11
processed_data\russian twist\video147.pt,16
processed_data\t bar row\video33.pt,19
processed_data\push-up\video46.pt,14
processed_data\tricep dips\video3.pt,20
processed_data\romanian deadlift\video183.pt,15
processed_data\russian twist\video131.pt,16
processed_data\push-up\video91.pt,14
processed_data\incline bench press\video166.pt,7
processed_data\bench press\video135.pt,1
processed_data\pull Up\video84.pt,13
processed_data\push-up\video47.pt,14
processed_data\bench press\video58.pt,1
processed_data\leg extension\video137.pt,10
processed_data\hammer curl\video22.pt,5
processed_data\russian twist\video43.pt,16
processed_data\leg extension\video21.pt,10
processed_data\leg extension\video123.pt,10
processed_data\hammer curl\video90.pt,5
processed_data\plank\video249.pt,12
processed_data\barbell biceps curl\video92.pt,0
processed_data\leg raises\video13.pt,11
processed_data\pull Up\video91.pt,13
processed_data\pull Up\video44.pt,13
processed_data\bench press\video119.pt,1
processed_data\deadlift\video74.pt,3
processed_data\hammer curl\video5.pt,5
processed_data\lateral raise\video14.pt,9
processed_data\romanian deadlift\video177.pt,15
processed_data\hip thrust\video27.pt,6
processed_data\hammer curl\video154.pt,5
processed_data\leg raises\video43.pt,11
processed_data\push-up\video126.pt,14
processed_data\hammer curl\video60.pt,5
processed_data\plank\video193.pt,12
processed_data\leg raises\video24.pt,11
